frame_id,x,y,neighbour_size
0,676,180,4
0,685,209,4
0,699,181,4
0,622,192,4
0,559,246,4
0,678,245,4
0,685,245,4
0,612,221,4
0,637,187,4
0,566,246,4
0,667,183,4
0,657,189,4
0,688,230,4
0,658,193,4
0,701,194,4
0,614,184,4
0,696,191,4
0,582,194,4
0,635,200,4
0,701,188,4
0,608,201,4
0,667,197,4
0,594,187,4
0,686,219,4
0,538,213,4
0,678,209,4
0,597,184,4
0,587,192,4
0,630,181,4
0,622,185,4
0,555,235,4
0,543,189,4
0,558,185,4
0,565,213,4
0,539,192,4
0,693,187,4
0,554,189,4
0,634,222,4
0,709,187,4
0,549,189,4
0,577,199,4
0,639,221,4
0,694,234,4
0,660,204,4
0,704,245,4
0,541,199,4
0,558,227,4
0,662,222,4
0,618,203,4
0,536,302,4
1,677,181,4
1,686,209,4
1,622,193,4
1,612,221,4
1,559,247,4
1,679,246,4
1,700,182,4
1,660,183,4
1,637,187,4
1,686,246,4
1,566,247,4
1,689,231,4
1,702,194,4
1,635,201,4
1,658,189,4
1,702,188,4
1,582,196,4
1,659,193,4
1,613,184,4
1,697,192,4
1,678,209,4
1,664,186,4
1,622,185,4
1,668,189,4
1,609,201,4
1,668,198,4
1,591,189,4
1,560,243,4
1,537,214,4
1,686,220,4
1,597,184,4
1,587,193,4
1,683,217,4
1,630,181,4
1,555,235,4
1,634,222,4
1,549,186,4
1,709,188,4
1,694,188,4
1,538,192,4
1,565,213,4
1,640,222,4
1,545,189,4
1,577,200,4
1,558,228,4
1,705,246,4
1,663,222,4
1,692,237,4
1,619,203,4
1,541,199,4
1,536,303,4
1,695,232,4
1,535,209,4
1,660,205,4
2,677,181,4
2,686,210,4
2,623,193,4
2,636,201,4
2,653,183,4
2,680,247,4
2,700,182,4
2,612,221,4
2,637,187,4
2,559,247,4
2,690,232,4
2,687,246,4
2,661,189,4
2,566,247,4
2,660,194,4
2,703,194,4
2,609,201,4
2,702,188,4
2,657,186,4
2,582,195,4
2,613,184,4
2,697,192,4
2,679,209,4
2,665,187,4
2,669,198,4
2,591,188,4
2,687,220,4
2,539,189,4
2,684,217,4
2,537,214,4
2,681,243,4
2,597,184,4
2,630,181,4
2,587,193,4
2,635,223,4
2,563,243,4
2,710,188,4
2,640,222,4
2,565,213,4
2,555,235,4
2,669,185,4
2,694,188,4
2,577,200,4
2,693,237,4
2,558,229,4
2,706,247,4
2,696,233,4
2,619,204,4
2,666,223,4
2,693,209,4
2,540,199,4
2,551,237,4
2,535,304,4
3,677,181,4
3,687,210,4
3,623,193,4
3,613,222,4
3,701,182,4
3,637,188,4
3,559,248,4
3,681,247,4
3,688,247,4
3,646,184,4
3,566,248,4
3,691,233,4
3,703,189,4
3,613,185,4
3,583,197,4
3,703,195,4
3,698,192,4
3,660,189,4
3,637,202,4
3,650,186,4
3,661,194,4
3,680,210,4
3,610,202,4
3,670,199,4
3,536,215,4
3,538,189,4
3,594,188,4
3,688,221,4
3,685,218,4
3,668,189,4
3,635,223,4
3,630,182,4
3,556,234,4
3,587,194,4
3,641,223,4
3,588,190,4
3,710,188,4
3,564,244,4
3,566,214,4
3,695,188,4
3,668,195,4
3,577,201,4
3,694,238,4
3,558,230,4
3,539,199,4
3,619,204,4
3,664,223,4
3,707,248,4
3,623,185,4
3,550,238,4
3,559,218,4
3,536,305,4
3,697,234,4
3,689,197,4
3,694,210,4
4,678,181,4
4,687,211,4
4,624,194,4
4,637,188,4
4,559,249,4
4,701,182,4
4,613,223,4
4,682,249,4
4,689,248,4
4,567,249,4
4,704,195,4
4,692,234,4
4,610,202,4
4,637,202,4
4,639,184,4
4,583,196,4
4,698,193,4
4,661,194,4
4,704,189,4
4,645,188,4
4,613,185,4
4,671,199,4
4,652,188,4
4,660,189,4
4,681,211,4
4,535,215,4
4,537,190,4
4,689,222,4
4,540,187,4
4,668,191,4
4,594,188,4
4,686,219,4
4,636,224,4
4,630,182,4
4,588,193,4
4,557,234,4
4,669,195,4
4,565,245,4
4,642,224,4
4,669,186,4
4,566,215,4
4,712,189,4
4,624,186,4
4,695,189,4
4,577,201,4
4,695,240,4
4,694,210,4
4,667,224,4
4,709,250,4
4,535,202,4
4,619,205,4
4,691,201,4
4,536,306,4
4,549,239,4
4,559,219,4
4,697,235,4
5,678,182,4
5,688,211,4
5,624,194,4
5,702,182,4
5,559,250,4
5,683,250,4
5,614,223,4
5,705,196,4
5,634,187,4
5,611,203,4
5,693,235,4
5,662,195,4
5,690,249,4
5,638,203,4
5,669,190,4
5,704,190,4
5,567,250,4
5,699,193,4
5,583,198,4
5,664,191,4
5,672,200,4
5,682,211,4
5,613,186,4
5,535,216,4
5,537,190,4
5,645,188,4
5,689,222,4
5,594,188,4
5,560,246,4
5,585,194,4
5,711,180,4
5,557,234,4
5,631,182,4
5,637,225,4
5,625,186,4
5,670,195,4
5,705,186,4
5,565,246,4
5,642,224,4
5,566,215,4
5,712,189,4
5,696,241,4
5,627,182,4
5,577,202,4
5,668,225,4
5,695,189,4
5,538,200,4
5,710,251,4
5,692,201,4
5,695,211,4
5,684,217,4
5,698,236,4
5,563,219,4
5,536,307,4
5,620,205,4
5,549,240,4
5,679,230,4
5,661,206,4
6,678,182,4
6,688,211,4
6,625,194,4
6,703,182,4
6,684,250,4
6,665,187,4
6,559,250,4
6,706,196,4
6,615,224,4
6,694,235,4
6,705,190,4
6,663,195,4
6,691,250,4
6,637,188,4
6,633,187,4
6,639,203,4
6,567,251,4
6,584,198,4
6,699,193,4
6,659,191,4
6,611,203,4
6,670,186,4
6,683,211,4
6,655,188,4
6,664,191,4
6,673,200,4
6,613,186,4
6,536,190,4
6,558,232,4
6,633,181,4
6,690,222,4
6,538,186,4
6,637,225,4
6,593,188,4
6,706,186,4
6,685,246,4
6,670,195,4
6,566,215,4
6,588,194,4
6,642,224,4
6,711,180,4
6,596,185,4
6,712,189,4
6,697,241,4
6,578,202,4
6,692,201,4
6,695,211,4
6,668,225,4
6,712,252,4
6,563,218,4
6,699,236,4
6,535,308,4
6,626,186,4
6,547,241,4
6,696,189,4
6,559,220,4
6,620,205,4
7,679,181,4
7,688,211,4
7,662,184,4
7,626,194,4
7,703,182,4
7,615,224,4
7,559,251,4
7,685,250,4
7,669,182,4
7,706,196,4
7,567,251,4
7,695,236,4
7,693,250,4
7,639,203,4
7,637,187,4
7,706,189,4
7,664,195,4
7,558,232,4
7,700,193,4
7,612,203,4
7,658,187,4
7,631,182,4
7,584,198,4
7,684,211,4
7,674,200,4
7,647,187,4
7,662,190,4
7,535,190,4
7,632,186,4
7,613,186,4
7,537,186,4
7,593,188,4
7,638,225,4
7,691,223,4
7,560,247,4
7,586,194,4
7,688,219,4
7,566,215,4
7,596,185,4
7,671,195,4
7,643,224,4
7,688,245,4
7,698,242,4
7,672,188,4
7,714,189,4
7,696,211,4
7,578,202,4
7,692,201,4
7,667,225,4
7,713,253,4
7,591,192,4
7,535,309,4
7,697,189,4
7,563,218,4
7,667,212,4
7,700,236,4
7,621,205,4
7,661,206,4
7,547,241,4
7,681,231,4
7,559,220,4
8,679,181,4
8,689,211,4
8,626,194,4
8,704,182,4
8,655,184,4
8,559,251,4
8,686,251,4
8,615,224,4
